Crash Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Fatalities(ground),Sum of Fatalities (air),Sum of Aboard
5/21/1981,Mexico,Convair,Convair CV 440,Pinarete Mountain Mexico,Aereas Lineas,0,24,24
5/22/1981,Ecuador,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 300HC,Near Zumba Ecuador,TAME,0,18,18
5/29/1981,Egypt,Lockheed,Lockheed C 130H HerculesSU,Cairo Egypt,Force Air Egyptian - Military,0,17,17
6/14/1981,Russia,Ilyushin,Ilyushin IL 14CCCP,Ust-Barguzin Russia,Aeroflot,0,48,48
6/26/1981,England,Hawker Siddeley,Hawker Siddeley HS 748G,Nailstone England,Dan Air Services,0,3,3
7/18/1981,Armenia,Canadair,Canadair CL 44D4,Near Yerevan Armenia,TAR,0,4,4
7/20/1981,Somalia,Fokker,Fokker F 27 Friendship 600RF6O,Mogadishu Somalia,Somali Airlines ,0,50,50
7/24/1981,Madagascar,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 3005R,MadagascarAir Madagascar,Air Madagascar,0,19,19
7/25/1981,Colombia,Douglas,Douglas C 53D,Caruru Colombia,Transamazonica,0,5,9
7/27/1981,Mexico,McDonnell Douglas,McDonnell Douglas DC 9,Chihuahua Mexico,Aeromexico,0,32,66
8/22/1981,Miao-li,Boeing,Boeing B 737,Near Sanyi Miao-li,Taiwan Far Eastern Air Transport,0,110,110
8/24/1981,Russia,Antonov,Antonov AN 24RV / Soviet Air Force TU,Near Zavitinsk Russia,Force Air Russian - Military / Aeroflot,0,31,32
8/27/1981,Colombia,Vickers Viscount,Vickers Viscount 745DHK 1320,Mt. Elena Colombia,Colombia Aeropesca,0,50,50
8/29/1981,Russia,Yakovlev,Yakovlev YAK 40CCCP,Zeya Russia,Aeroflot,0,3,34
9/2/1981,Colombia,Embraer 110P1,Embraer 110P1 BandeiranteHK 2651,Paipa Colombia,Aereo el Venado,0,21,22
9/18/1981,Russian,Yakovlev,Yakovlev YAK 40 / Mil Mi,Zeleznogorsk Russian,Russian - /Military Aeroflot,0,40,40
9/21/1981,Nevada,Lockheed,Lockheed C 130H Hercules74,Nellis AFB Nevada,U.S. Air Force - Military,0,7,70
9/22/1981,Turkey,Northrop,Northrop F 5A?,Near Babaeski Turkey,Force Air Turkish - Military,40,0,0
9/29/1981,Iran,Lockheed,Lockheed C 130H5,Tehran Iran,Force Air Iranian - Military,20,60,80
10/1/1981,Wyoming,Learjet,Learjet 24N44CJ,Casper Wyoming,Sky Train Air,0,3,3
10/6/1981,Netherlands,Fokker,Fokker F 28 Fellowship 4000PH,Moerdijk Netherlands,Maatschappij) Luchtvaart (Nederlandse NLM,0,17,17
10/15/1981,Austria,Cessna 404,Cessna 404 TitanOE FCT,Kufstein Austria,Flugdienst Oefag,0,9,9
10/26/1981,U.S.,Lockheed,Lockheed L 749A ConstellationHI,St. Thomas U.S.,Argo IslandsAerolineas Virgin,0,5,5
10/31/1981,Cameroon,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 300TJ,Bafoussam Cameroon,Cameroon Airlines,0,1,24
11/8/1981,Mexico,McDonnell Douglas,McDonnell Douglas DC 9,Sierra de Guerro Mexico,Aeromexico,0,18,18
11/16/1981,Russia,Tupolev,Tupolev TU 154B,Norilsk Russia,Aeroflot,0,99,167
11/19/1981,Nepal,Pilatus,Pilatus PC 6/B2,Biratnagar Nepal,Royal Nepal Airlines,0,10,10
11/30/1981,Saint,Douglas,Douglas DC 6AN3486F,Castries Saint,Airways IslandGuyana Lucia,0,3,3
12/1/1981,near,McDonnell Douglas,McDonnell Douglas MD 81YU,Mt. San Pietro near,Corsica          Ajaccio,0,180,180
12/5/1981,Hawaii,Beech,Beech C 45HN8185H,Honolulu Hawaii,show air Parajump - Private,0,11,12
12/16/1981,Brunei,Aerospatiale,Aerospatiale Puma9M SSC,Kuala Belait Brunei,Helicopters Bristow,0,12,12
12/18/1981,Colombia,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 300HK,Near Covenas Colombia,Colombia ACES,0,13,13
1/7/1982,USSRAeroflot,LET  410M,LET  410M TurbojetCCCP 67290,Near Gelendzhik USSRAeroflot,Aeroflot,0,18,18
1/13/1982,D.C.Air,Boeing,Boeing B 737,Washington D.C.Air,Florida,4,74,79
1/14/1982,Ethiopia,Antonov,Antonov AN 2671383,Near Addis Ababa Ethiopia,Force Air Ethiopian - Military,0,73,73
1/25/1982,Romania,Antonov,Antonov AN 24RVYR,Constanta Romania,TAROM,0,7,7
2/3/1982,Djbouti,Nord 2501,Nord 2501 Noratlas140/88JA,Djibouti Djbouti,Force Air French - Military,0,35,35
2/6/1982,South,Fairchild,Fairchild C 123?,Island of Cheju South,Force Air Korea South of Republic - KoreaMilitary,0,53,53
2/7/1982,India,Fairchild,Fairchild C 119G?,Near Sri Lankanagar India,Force Air Indian - Military,0,23,23
2/9/1982,Japan,McDonnell Douglas,McDonnell Douglas DC 8,Tokyo Japan,Japan Air Lines,0,24,174
