Crash Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Fatalities(ground),Sum of Fatalities (air),Sum of Aboard
9/17/1908,Virgin Islandsia,Wright Flyer,Wright Flyer III?,Fort Myer Virgin Islandsia,U.S. Army - Military,0,1,2
9/7/1909,France?,Wright,Wright ByplaneSC1,Juvisy-sur-Orge France,N/A,0,1,1
7/12/1912,U.S.A.,Dirigible?,Dirigible?,Atlantic City New Jersey,US Navy - Military,0,5,5
8/6/1913,British,Curtiss,Curtiss seaplane?,Victoria British,Canada          Columbia Private,0,1,1
9/9/1913,North Sea,Zeppelin,Zeppelin L 1 (airship)?,Over the North Sea,German Navy - Military,0,14,20
10/17/1913,Germany,Zeppelin,Zeppelin L 2 (airship)?,Near Johannisthal Germany,German Navy - Military,0,28,28
3/5/1915,Belgium,Zeppelin,Zeppelin L 8 (airship)?,Tienen Belgium,German Navy - Military,0,17,41
9/3/1915,Germany,Zeppelin,Zeppelin L 10 (airship)?,Off Cuxhaven Germany,German Navy - Military,0,19,19
7/28/1916,Bulgeria,Schutte,Schutte  Lanz S,Near Jambol Bulgeria,German Army - Military,0,20,20
9/24/1916,England,Zeppelin,Zeppelin L 32 (airship)?,Billericay England,German Navy - Military,0,22,22
10/1/1916,England,Zeppelin,Zeppelin L 31 (airship)?,Potters Bar England,German Navy - Military,0,19,19
11/21/1916,Germany,Super Zeppelin,Super Zeppelin (airship)?,Mainz Germany,German Army - Military,0,27,28
11/28/1916,England,Zeppelin,Zeppelin L 34 (airship),Off West Virgin Islandsia Hartlepool England,German Navy - Military,0,20,20
3/4/1917,Belgium,Airship?,Airship?,Near Gent Belgium,German Army - Military,0,20,20
3/30/1917,Germany,Schutte,Schutte  Lanz S,Off Northern Germany,German Navy - Military,0,23,23
5/14/1917,North,Zeppelin,Zeppelin L 22 (airship)?,Near Texel Island North,German Navy - SeaMilitary,0,21,21
6/14/1917,North,Zeppelin,Zeppelin L 43 (airship)?,Off Vlieland Island North,German Navy - SeaMilitary,0,24,24
6/17/1917,England?,Zepplin,Zepplin L 48 (air ship)L,Near Yarmouth England,N/A,0,14,16
8/21/1917,Denmark,Zeppelin,Zeppelin L 23 (airship)?,Off West Virgin Islandsiaern Denmark,German Navy - Military,0,18,18
10/20/1917,France,Zeppelin,Zeppelin L 44 (airship)?,Near Luneville France,German Navy - Military,0,18,18
4/7/1918,Mediterranean Sea,Zeppelin,Zeppelin L 59 (airship)?,Over the Mediterranean,German Navy - Military,0,23,23
8/5/1918,Germany,Zeppelin,Zeppelin L 70 (airship)?,Off Helgoland Island Germany,German Navy - Military,0,22,22
8/11/1918,North,Zeppelin,Zeppelin L 53 (airship)?,Ameland Island North,German Navy - SeaMilitary,0,19,19
12/16/1918,U.S.A.,De Havilland,De Havilland DH 497,Elizabeth New Jersey,US Aerial Mail Service,0,1,1
5/25/1919,Ohio,De Havilland,De Havilland DH 461,Cleveland Ohio,US Aerial Mail Service,0,1,1
7/19/1919,Pennsylvania,De Havilland,De Havilland DH 482,Dix Run Pennsylvania,US Aerial Mail Service,0,1,1
7/21/1919,Illinois,FD Type,FD Type Dirigible?,Chicago Illinois,Wingfoot Air Express Goodyear Tire,10,3,0
8/2/1919,Italy,Caproni,Caproni Ca.48?,Verona Italy,Company Caproni,0,14,14
10/2/1919,England,De Havilland,De Havilland DH 4?,U.S.A.castle England,Aircraft Travel and Transport,0,1,1
10/14/1919,Maryland,Curtiss,Curtiss R 4LM32,Cantonsville Maryland,US Aerial Mail Service,0,1,1
10/20/1919,Kent,De Havilland,De Havilland DH 4G,English Channel off Forkstone Kent,Aircraft Travel and Transport,0,0,0
10/30/1919,U.S.A.,De Havilland,De Havilland DH.477,Long Valley New Jersey,US Aerial Mail Service,0,1,1
12/11/1919,Surrey,De Havilland,De Havilland DH 4G,Catherham Surrey,Aircraft Travel Transport,0,1,1
3/10/1920,Indiana,De Havilland,De Havilland DH 465,New Paris Indiana,US Aerial Mail Service,0,1,1
3/30/1920,U.S.A.,De Havilland,De Havilland DH 472,New Jerseyark New Jersey,US Aerial Mail Service,0,1,1
4/10/1920,U.S.A.,Curtiss,Curtiss R 4LM49,New Jerseyark New Jersey,US Aerial Mail Service,0,1,2
4/11/1920,U.S.A.,Curtiss,Curtiss JN 4H44,Heller Field New Jersey,US Aerial Mail Service,0,1,2
5/12/1920,Iowa,De Havilland,De Havilland DH 479,Oskaloosa Iowa,US Aerial Mail Service,0,1,2
6/6/1920,Ohio,De Havilland,De Havilland DH 4204,Cleveland Ohio,US Aerial Mail Service,0,1,1
7/20/1920,Columbia,Farman,Farman F 40?,Cartagena Columbia,Aérea Navegación de Colombiana Compañia,0,1,1
8/16/1920,England,Armstrong,Armstrong  Whitworth F,Bedford England,By Air,0,1,1
8/16/1920,Maryland,De Havilland,De Havilland DH 4317,College Park Maryland,US Aerial Mail Service,0,1,1
9/1/1920,U.S.A.,Junkers,Junkers JL 6305,Morristown New Jersey,US Aerial Mail Service,0,2,2
9/15/1920,Ohio,Junkers,Junkers F 13308,Pemberville Ohio,US Aerial Mail Service,0,2,2
9/27/1920,Pennsylvania,De Havilland,De Havilland DH 4316,Hillersburg Pennsylvania,US Aerial Mail Service,0,1,1
10/2/1920,France,Salmson,Salmson 2 A,Off Port Vendres France,Latecoere Airlines,0,2,2
10/5/1920,Spain,Breguet,Breguet 14F ALTA,Valencia Spain,Latecoere Airlines,0,2,2
10/15/1920,Illinois,De Havilland,De Havilland DH 476,Batavia Illinois,US Aerial Mail Service,0,1,1
11/7/1920,Wyoming,De Havilland,De Havilland DH 4?,Tie Siding Wyoming,US Aerial Mail Service,0,1,1
12/14/1920,England,Handley Page,Handley Page HP 16G,London England,Handley Page Transport,0,4,8
12/24/1920,Spain,Breguet,Breguet 14F ALBO,Barcelona Spain,Aeropostale,0,1,1
2/3/1921,Minnisota,De Havilland,De Havilland DH 4130,Mendotta Minnisota,US Aerial Mail Service,0,1,1
2/9/1921,Wisconsin,Junkers,Junkers F 13301,La Crosse Wisconsin,US Aerial Mail Service,0,3,3
2/15/1921,Gibraltar,Breguet,Breguet 14F ALBA,Off GibraltarAeropostale,Aeropostale,0,2,2
2/22/1921,Nevada,De Havilland,De Havilland DH 467,Elko Nevada,US Aerial Mail Service,0,1,1
4/6/1921,Australia,Avro,Avro 504H3021,Point Cook Australia,Force Air Australian Royal - Military,0,2,2
4/21/1921,NYUS,De Havilland,De Havilland DH 4160,Mitchel Field NYUS,Aerial Mail Service,0,1,1
4/29/1921,Ohio,De Havilland,De Havilland DH 4196,Cleveland Ohio,US Aerial Mail Service,0,1,1
5/17/1921,Wyoming,De Havilland,"De Havilland DH 4
De Havilland DH",Rock Springs Wyoming,US Aerial Mail Service,0,1,1
8/14/1921,France,Breguet,Breguet 14F ALBI,Toulouse France,Aeropostale,0,2,2
8/24/1921,England,Royal Airship Works,Royal Airship Works ZR 2 (airship)R,River Humber England,Works Airship Royal - Military,1,43,49
9/6/1921,France,Potez,Potez IXF ADCD,Paris France,Franco-Roumaine,0,5,5
12/5/1921,Australia,Bristol 28,Bristol 28 TourerG AUDI,Near Murchinson River Australia,Airways Australian West,0,2,2
1/14/1922,France,Handley Page,Handley Page O/10G EATN,Paris France,Handley Page Transport,5,5,5
2/21/1922,Virgin Islandsia,Dirigible Roma,Dirigible Roma (airship)?,Near Norfolk Virgin Islandsia,U.S. Army Air Service - Military,0,34,45
3/22/1922,North Atlantic Ocean,Aeromarine Model 85 (flying,Aeromarine Model 85 (flying boat)?,North Atlantic OceanAero Limited,Aero Limited,0,5,6
4/7/1922,France,De Havilland,de Havilland DH 18 / Farman F,Grandvilliers France,Aeriens Express Grands / Airways Daimler,0,7,7
4/8/1922,China?,??,??,Pao Ting Fou China?,N/A,0,17,17
6/3/1922,Kent,Bleriot Spad,Bleriot Spad 27F ACMH,Off Folkestone Kent,England Cie des Messageries Aeriennes,0,3,3
7/4/1922,Germany?,LVG C,LVG C VI?,Fuhlsbuttel Germany?,N/A,0,2,3
7/16/1922,Lorraine,Potez,Potez 29F FREI,Near Saverne Lorraine,France Compagnie Franco-Roumaine de Navigaation Aerienne,0,5,5
7/26/1922,Spain,Breguet,Breguet 14F ALVE,Cadix Spain,Grands Express Aeriens,0,3,3
9/7/1922,Indiana,De Havilland,De Havilland DH 4227,Indianapolis Indiana,US Aerial Mail Service,0,1,1
10/2/1922,Italyde,De Havilland,de Havilland DH 9G,Venice Italyde,Havilland Air Service,0,4,4
10/25/1922,Morocco,Breguet,Breguet 14?,Larache Morocco,Grands Express Aeriens,0,2,2
12/3/1922,Morocco,Breguet,Breguet 14F ALNA,Fez Morocco,Grands Express Aeriens,0,1,1
1/10/1923,France,Lioré,Lioré  et,Ajaccio France,l'Air de Amee,0,3,4
1/17/1923,Spain,Breguet,Breguet 14F ALJU,Barcelona Spain,Grands Express Aeriens,0,1,1
1/18/1923,Wyoming,De Havilland,De Havilland DH 4223,Cheyenne Wyoming,US Aerial Mail Service,0,1,1
2/26/1923,Pennsylvania,De Havilland,De Havilland DH 4291,Meadville Pennsylvania,US Aerial Mail Service,0,1,1
5/14/1923,Picrdie,Farman,Farman F 60 GoliathF,Near Amiens Picrdie,France Grands Express Aeriens (Air Union),0,6,6
8/27/1923,Romania,Blériot Spad,Blériot Spad 46F AEGN,Bucharest Romania,Roumaine France Campagnie,0,2,2
8/27/1923,United Kingdom,Farman F.60,Farman F.60 GoliathF AECB,East Mallling United Kingdom,Union Air,0,1,11
9/7/1923,Ohio,De Havilland,De Havilland DH 4283,Colton Ohio,US Aerial Mail Service,0,1,1
9/14/1923,Buckinghamshire,De Havilland,de Havilland DH 34G,Near Ivinghoe Buckinghamshire,England Daimler Airways,0,5,5
11/18/1923,Russia,Junkers,Junkers F 13D,RussiaCCCP,CCCP,0,3,5
12/6/1923,Ohio,De Havilland,De Havilland DH 4318,Castalia Ohio,US Aerial Mail Service,0,1,1
12/23/1923,Mediterranean Sea,Zeppelin Dixmunde,Zeppelin Dixmunde (airship)L 72,Over the Mediterranean SeaMilitary - French Navy,French Navy - Military,0,52,52
12/24/1923,WYUS,De Havilland,De Havilland DH 4315,Egbert WYUS,Aerial Mail Service,0,1,1
3/7/1924,Pennsylvania,De Havilland,De Havilland DH 4327,Grampian Pennsylvania,US Aerial Mail Service,0,1,1
4/24/1924,English Channel,Fokker,Fokker F.IIIH NABS,Over the English ChannelKLM Royal Dutch Airlines,KLM Royal Dutch Airlines,0,3,3
6/8/1924,Colombia,Junkers,Junkers F 13A16,Barranquilla Colombia,SCADTA,0,5,5
8/1/1924,U.S.A.,De Havilland,De Havilland DH 4297,United Arab Emirates StatesUS Aerial Mail Service,US Aerial Mail Service,0,1,1
11/6/1924,France,Breguet,Breguet 14F AFBD,Cabrerolles France,Grands Express Aeriens,0,1,1
12/21/1924,Indiana,De Havilland,De Havilland DH 4311,Goshen Indiana,US Aerial Mail Service,0,1,1
12/24/1924,England,De Havilland,de Havilland DH 34BG,Purley England,Airways Imperial,0,8,8
3/22/1925,Georgia,Junkers,Junkers F 13R,Near Tiflis Georgia,USSRZakavia,0,5,5
4/25/1925,Spain,Breguet,Breguet 14F AFBB,Alicante Spain,Grands Express Aeriens,0,3,3
6/25/1925,France,Fokker (KLM),Fokker (KLM)  F.IIIH NABM,Landrécies France,Royal Dutch Airlines KLM,0,4,4
6/26/1925,Spain,Lioré,Lioré  et,Alicante Spain,Grands Express Aeriens,0,2,2
7/20/1925,Spain,Breguet,Breguet 14F AFBI,Rosas Spain,Latecoere Aeriennes Lignes,0,1,1
7/24/1925,Hungary,Potez,Potez IX?,Budapest Hungary,CIDNA,0,1,1
9/3/1925,Ohio,Dirigible,Dirigible ZR 1 Shenandoah (airship)ZR,Caldwell Ohio,U.S. Navy - Military,0,14,43
9/7/1925,France,Spad,Spad 33?,Toul France,CIDNA,0,0,0
10/1/1925,Ohio,De Havilland,De Havilland DH 4385,Mt. Nittany Ohio,US Aerial Mail Service,0,1,1
11/14/1925,Mauritania,Breguet,Breguet 14F AEGZ,Nouadhibou Mauritania,Latecoere Aeriennes Lignes,0,1,1
11/14/1925,France,Farman,Farman F 60 GoliathF,Off Boulogne-sur-Mer France,Union Air,0,2,2
2/12/1926,Ohio,Curtiss Carrier,Curtiss Carrier Pigeon602,Montpelier Ohio,US Aerial Mail Service,0,1,1
3/8/1926,Germany,Junkers,Junkers F 13D,Staaken Germany,Lufthansa Deutche,0,1,1
5/31/1926,English Channel,Breguet,Breguet 14F ADAI,English ChannelAir Union,Union Air,0,1,1
7/3/1926,Czechoslovakia,Caudron,Caudron C 61F,Rossaugpt Czechoslovakia,Aérienne Navigation de Internationale Compagnie,0,6,6
7/9/1926,Belgium,Fokker,Fokker F7H NACC,Wolvertem Belgium,Royal Dutch Airlines KLM,0,2,2
7/24/1926,Germany,Junkers,Junkers F 13D,Juist Germany,Deutsche Lufthansa,0,5,5
8/18/1926,Kent,Bleriot,Bleriot 155F AIEB,Hurst Kent,England Air Union,0,3,15
9/26/1926,U.S.A.,Sikorsky,Sikorsky S 25?,New York,N/A,0,2,5
10/2/1926,Kent,Bleriot,Bleriot 155F  AICQ,Leigh Kent,Union Air,0,7,7
10/8/1926,Germany,Fokker FG,Fokker FG IIID 468,Bueren Germany,Deutsche Lufthansa,0,4,4
10/21/1926,English Channel,Handley Page,Handley Page W 10G,English ChannelImperial Airways,Imperial Airways,0,0,12
11/11/1926,Morocco,Breguet,Breguet 14F AFAX,Cape Bojador Morocco,Grands Express Aeriens,0,3,3
12/16/1926,Oregon,Ryan,Ryan M 12,Medford Oregon,Pacific Air transport,0,1,1
1/12/1927,France,Fokker,Fokker F VIIG,Estaires France,Fokker,0,0,0
3/20/1927,Morocco,Breguet,Breguet 14F ALRA,Rabat Morocco,Grands Express Aeriens,0,1,1
3/24/1927,Qld,De Havilland,de Havilland DH 9CG,Tambo Qld,Australia Qantas,0,3,3
4/15/1927,Idaho,"Swallow
Swallow?","Swallow
Swallow?",King Hill Idaho,Varney Air Lines,0,1,1
4/22/1927,Germany,Fokker FG,Fokker FG IIID 729,Floh Germany,Deutsche Lufthansa,0,2,2
4/22/1927,Indiana,Douglas,Douglas M 4626,Goshen Indiana,US Aerial Mail Service,0,1,1
5/2/1927,Algeria,SPCA Meteore,SPCA Meteore 63F AIFN,Algiers Algeria,Union Air,0,1,3
7/27/1927,Germany,Junkers,Junkers F 13D,Amoneburg Germany,Deutsche Lufthansa,0,5,5
8/22/1927,England,Fokker,Fokker F VIIIH,Sevenoaks England,Royal Dutch Airlines KLM,0,1,11
9/3/1927,Connecticut,Fokker UniversalNC52,"Fokker UniversalNC52  	
NC52",Willington Connecticut,Colonial Air transport,0,1,1
9/17/1927,U.S.A.,Fokker,Fokker F VIINC776,Hadley New,Airways JerseyReynolds,0,7,12
9/17/1927,Atlantic Ocean,Fokker,Fokker F7NX703,Atlantic Ocean,Private,0,3,3
9/23/1927,Germany,Dornier,Dornier MerkurD 585,Schleiz Germany,Deutsche Lufthansa,0,6,6
10/6/1927,Mauritania,Breguet,Breguet 14F AGBN,Thies Mauritania,Latecoere Aeriennes Lignes,0,2,2
10/30/1927,U.S.A.,Fairchild,Fairchild FC 2?,New Brunswick New Jersey,Colonial Air transport,0,4,4
11/8/1927,France,Farman,Farman F 121 JabiruF,Strasburg France,CIDNA,0,1,1
11/16/1927,Finland,Junkers,Junkers F 13K,Over the Gulf of FinlandAero O-Y,Aero O-Y,0,6,6
11/29/1927,Indiana,Douglas,"Douglas M 4NC62  	
NC1062",Corunna Indiana,National Air transport,0,1,1
12/28/1927,Spain,Breguet,Breguet 14F AFGS,Almeria Spain,Aeropostale,0,1,1
12/31/1927,France,Latécoère 23 (flying,Latécoère 23 (flying boat)F AIHP,Near Marseille Airlines,Airlines,0,5,5
1/8/1928,U.S.A.,Fairchild,Fairchild FC 2NC3780,Near Canajoharie New York,Colonial Western Airlines,0,3,3
1/16/1928,Uruguay,Latecoere,Latecoere 25F AIKG,Solis Uruguay,Aeropostale,0,2,2
1/22/1928,Ariège,Breguet 14,"Breguet 14
 F AHEQ",L'Hospitalet Ariège,Aeropostale,0,1,1
1/22/1928,Spain,Breguet,Breguet 14F AHEQ,Tarragona Spain,Aeropostale,0,2,2
1/27/1928,Spain,Breguet,Breguet 14F AFHN,Almeria Spain,Aeropostale,0,1,1
2/26/1928,Nebraska,Boeing,Boeing 40NC280,Marquette Nebraska,Boeing Air transport,0,1,2
3/11/1928,France,Farman,Farman F 60 GoliathF,Off Cape Griz Nez France,Union Air,0,2,2
4/17/1928,Wyoming,Boeing,"Boeing 40NC282
NC282",Federal Wyoming,Boeing Air transport,0,1,2
4/19/1928,Spain,Rohrbach,Rohrbach RolandM CCCC,Minuesa Spain,Iberia Airlines,0,9,9
5/7/1928,"Brazil
Florianopolis",Latecoere,Latecoere 26F AIMQ,"Florianopolis Brazil
Florianopolis",BrazilFlorianopolis,0,1,5
5/12/1928,Minnesota,Ford,Ford 4NC1492,Dearborn Minnesota,Inc. Freight Air Ford,0,2,2
5/26/1928,Germany,Junkers,Junkers F 13D,Radevormwald Germany,Deutsche Lufthansa,0,3,5
6/14/1928,Germany,AEGKD,AEGKD  74,Frankfurt Germany,Deutsche Lufthansa,0,5,5
6/22/1928,Kansas,Douglas,Douglas M 4NC1059,Lebo Kansas,National Air transport,0,1,1
7/10/1928,Finland,Junkers,Junkers F 13K,Over the Gulf of FinlandAero O-Y,Aero O-Y,0,6,6
7/13/1928,England,Vickers 74,Vickers 74 VulcanG EBLB,Purley England,Airways Imperial,0,4,6
7/24/1928,Netherlands,Fokker (KLM),Fokker (KLM) F.IIIH NABR,Waalhaven Netherlands,Royal Dutch Airlines KLM,0,1,6
8/25/1928,BC,Ford,Ford 4 AT,Near Port Townsend BC,Canada British Columbia Airways,0,7,7
9/2/1928,France,Bleriot Spad,Bleriot Spad 33F AIEP,Toul France,CIDNA,0,5,5
9/4/1928,Idaho,Fokker Super,Fokker Super UniversalNC7242,Pocatello Idaho,Airways Parks National,0,7,7
9/4/1928,Australia,De Havilland,de Havilland DH.50JG AUHI,Adelaide Hills Australia,Qantas,0,1,2
9/6/1928,Germany,Fokker FG,Fokker FG IIID 180,Heroldbach Germany,Deutsche Lufthansa,0,3,3
10/4/1928,Spain,Breguet,"Breguet 14F AEEJ
F",Gerona Spain,Aeropostale,0,3,3
10/18/1928,Pennsylvania,Douglas,Douglas M 4NC1064,Polk Pennsylvania,National Air transport,0,1,1
10/31/1928,France,Bleriot Spad,Bleriot Spad 56F AIMN,Valence France,Union Air,0,1,2
11/15/1928,Gibraltar,Latecoere,Latecoere 32F AISN,Off GibraltarAeropostale,Aeropostale,0,1,3
11/24/1928,Ohio,Hamilton,Hamilton H 47NC7521,Edgerton Ohio,Universal Airlines ,0,3,3
11/25/1928,Ohio,Travel Air,Travel Air 4000NC5436,Edgerton Ohio,Lines Air Continental,0,1,1
11/25/1928,Ohio,Douglas,Douglas M 4NC792,Bristolville Ohio,National Air transport,0,1,1
12/1/1928,Texas,Ford,Ford 4 AT,Spur Texas,Co. Transport Air Sunbeam,0,5,5
12/3/1928,Condor,Dornier,Dornier WalP BACA,Near Rio de Janeiro Condor,Condor,0,14,14
12/10/1928,Washington,Ford,Ford Tri motor 4NC7687,Spokan Washington,Airways Spokane,0,5,5
12/11/1928,Germany,Junkers,Junkers G 31D,Letzlingen Germany,Deutsche Lufthansa,0,3,4
12/20/1928,Ohio,Douglas,Douglas M 4NC790,Huron Ohio,National Air transport,0,1,1
12/23/1928,Tennessee,Fairchild,Fairchild FC 2?,Chattanooga Tennessee,Interstate Airlines,0,4,4
12/31/1928,France,Blériot Spad,Blériot Spad 66F AEHX,Reims France,CIDNA,0,2,3
1/5/1929,Connecticut,Fairchild,Fairchild FC 2NC5650,Stafford Springs Connecticut,Colonial Air transport,0,1,1
1/18/1929,Oregon,Stearman,Stearman C 38NC1682,Cove Oregon,Varney Air Lines,0,1,1
1/25/1929,Greece,CMASA,CMASA WalI AZDA,Near Corfu Greece,Aeroespresso,0,2,9
1/31/1929,Morocco,Latecoere,"Latecoere 26F AIMU
F",Off MoroccoAeropostale,Aeropostale,0,2,2
1/31/1929,West Virgin Islandsia,Travel Air,Travel Air 4000NC6480,Morgantown West Virgin Islandsia,Company Transportation VirginiaSkyline,0,1,1
3/17/1929,U.S.A.,Ford,Ford 5 AT,Newark New Mexico,Colonial Western Airlines ,0,14,15
3/30/1929,California,Fokker,Fokker F VIIANC7888,Near Beaumont California,Standard Airlines ,0,4,4
4/21/1929,California,Ford,Ford 5 AT,San Diego California,U.S. Air Force - Military,0,6,6
5/9/1929,Mexico,Ford,Ford Tri motor 4M,Tampico Mexico,Mexicana,0,5,5
5/22/1929,Algiers,Cams,Cams 53F AISX,AlgiersAeropostale,Aeropostale,0,4,6
6/13/1929,Cuba,Fokker,Fokker F XNC9700,Santiago de Cuba Cuba,Airways American Pan,0,2,5
6/14/1929,Spain,Breguet,Breguet 14F AFEJ,Barcelona Spain,Aeropostale,0,1,2
6/17/1929,England,Handley Page,Handley Page W 10G,Off Dungeness England,Airways Imperial,0,7,13
6/24/1929,Minnesota,Ford,Ford 5 AT,St. Paul Minnesota,Northwest Orient Airlines,0,1,8
6/29/1929,Bavaria,Domier Delphin III (flying,Domier Delphin III (flying boat)D 1620,Near Lindau Bavaria,Germany Bodensee Aerolloyd,0,5,5
6/29/1929,Ohio,Travel Air,Travel Air 4000NC5435,Columbus Ohio,Lines Air Continental,0,1,1
8/11/1929,U.S.A.,Lockheed 5,Lockheed 5 VegaNC870E,Clovis New Mexico,Middle States Airlines ,0,4,4
8/24/1929,Germany,Fokker FG,Fokker FG IID 757,Elm Germany,Deutsche Lufthansa,0,4,5
8/24/1929,Russia,Kalinin,Kalinin K 4CCCP,Sochi Russia,Ukvozduchput,0,1,1
9/2/1929,California,Lockheed,Lockheed VegaNR859E,Needles California,Aviators Associated,0,1,2
9/3/1929,near New Mexico,Ford,Ford 5 AT,Mt. Taylor near New Mexico,Grants Trans Continental Air Transport,0,8,8
9/6/1929,Iran,De Havilland,de Havilland DH 66 HerculesG,Jask Iran,Airways Imperial,0,3,5
9/14/1929,North Atlantic Ocean,Latecoere,Latecoere 25F AIUJ,North Atlantic OceanAeropostale,Aeropostale,0,6,6
9/14/1929,Ontario,Travel Air,Travel Air 6000CF ABE,Saint Catharines Ontario,Skyways,0,6,6
9/17/1929,Morocco,Latecoere,Latecoere 25 3,Off Larache Morocco,Aeropostale,0,5,5
9/17/1929,California,Fairchild,Fairchild 71?,Jacumba California,Airways Pickwick,0,1,2
9/17/1929,Connecticut,Pitcairn,Pitcairn PA 6 Mailwing?,Mt Lamentation Connecticut,Colonial Air transport,0,1,1
10/26/1929,Italy,Short Calcutta (flying,Short Calcutta (flying boat)G AADN,Off Spezia Italy,Airways Imperial,0,7,7
10/29/1929,Ohio,Stearman,Stearman C 38?,Mount Vernon Ohio,Lines Air Continental,0,1,1
10/31/1929,Washington,Loening,Loening C 2CNC9158,Off Bremerton Washington,Lines Air Gorst / Taxi Air Bremerton-Seattle,0,2,2
11/4/1929,Mexico,Lockheed Vega,Lockheed Vega 5NC46M,Cerro del Carbon Mexico,Transportes de Aeronautica Corp.,0,4,4
11/6/1929,Surrey,Junkers,Junkers G 24D,Near Godstone Surrey,England Deutsche Lufthansa,0,7,8
11/16/1929,France,Liore et Olivier,Liore et Olivier 190F AIGB,Off Corsica France,Union Air,0,3,3
11/20/1929,East,Savoia Marchetti,Savoia Marchetti S55I TACO,Terranova Pausania East,Mediterranea Aerea Società SardiniaS.A.M.,0,1,12
11/30/1929,Washington,Stearman,Stearman M 2 SpeedmailNC8199,Vancouver Washington,Varney Air Lines,0,1,1
12/2/1929,Ohio,Douglas,Douglas M 3NC789,Chagrin Falls Ohio,National Air transport,0,1,1
12/19/1929,Germany,Arado,Arado V1D 1594,Near Berlin Germany,Deutsche Lufthansa,0,2,3
12/30/1929,Texas,Travel Air,Travel Air B6000?,Amarillo Texas,Trans Continental Air transport,0,5,5
1/2/1930,California?,??,??,Off Venice California?,N/A,0,10,10
1/10/1930,Nebraska,Boeing,Boeing 95NC184E,Brawnson Nebraska,Boeing Air transport,0,1,1
1/13/1930,Madagascar,Farman,Farman 190F AJJK,Antananarivo Madagascar,Orient Air,0,3,3
1/19/1930,California,Ford,Ford 5 AT,Oceanside California,Maddux Airlines,0,16,16
1/25/1930,Spain,Latecoere,Latecoere 25F AJCL,Off Ceuta Spain,Aeropostale,0,2,2
1/27/1930,Missouri,Travel Air,Travel Air A6000A?,Kansas City Missouri,Corporation) Aviation (Universal Airlines  Central,0,5,5
2/3/1930,Connecticut,Pitcairn,Pitcairn PA 6 MailwingNC801H,Hartford Connecticut,Colonial Air transport,0,1,1
2/10/1930,England,Farman,Farman F 63F,Marden England,Union Air,0,2,6
4/18/1930,U.S.A.,Fairchild,Fairchild 71NC9148,Jersey City New,Airways Colonial JerseyCanadian,0,4,4
5/10/1930,Argentina,Latecoere,Latecoere 28F AJPD,Buenos Aires Argentina,Aeropostale,0,3,4
6/5/1930,Massachusetts,Ford,Ford Tri Motor 5NC9675,Boston Massachusetts,Colonial Air transport,0,1,15
7/7/1930,Denmark,Dornier,Dornier WalD 864,Bornholm Denmark,Deutsche Lufthansa,0,5,8
7/10/1930,Texas,Lockheed Vega,Lockheed Vega 5NC 394H,Arkansas Pass Texas,Airways Cross,0,5,5
7/21/1930,Kent,Junkers,Junkers F 13geG,Near Meopham Kent,England Walcot Air Line,0,6,6
8/22/1930,Czechoslovakia,Ford,Ford 5 AT,Iglau Czechoslovakia,Ceskoslovenske Aeroline,0,10,11
9/11/1930,England,Sabca,Sabca F VIIOO,Croydon England,Sabena,0,2,2
9/25/1930,Alberta,Boeing,Boeing 40CF AIN,Edmonton Alberta,Canada Western Canada Airways,0,3,3
10/5/1930,France,Royal Airship Works,Royal Airship Works R 101G,Near Beauvais France,Ministry Air British - Military,0,48,54
10/6/1930,Germany,Messerschmitt,Messerschmitt M 20BD,Dresden Germany,Deutsche Lufthansa,0,8,8
10/12/1930,Morocco,Latecoere,Latecoere 28F AJUU,La Rache Morocco,Aeropostale,0,4,4
10/13/1930,Australia,de Havilland DH.80 Puss,de Havilland DH.80 Puss MothVH UPC,Perth Australia,Ltd Wings,0,3,3
10/28/1930,BC,Lockheed,Lockheed VegaNC103W,Prince Rupert BC,Canada Alaska-Washington Airways,0,3,3
10/30/1930,France,Handley Page,Handley Page W 8G,Near Neufchatel France,Airways Imperial,0,3,6
10/30/1930,Indiana,Pitcairn,Pitcairn PA 6 Mailwing?,Brookston Indiana,Company Riddle Embry,0,1,1
11/7/1930,Brazil,Junkers,Junkers G 24P,Off of Santos Brazil,Condor Syndicato,0,1,9
11/18/1930,California,Boeing,Boeing 40NC5340,Techachapi Mountains California,Pacific Air transport,0,3,3
12/9/1930,China,Loening,Loening C W Air Yaht?,Shanghai China,Corporation Aviation National China,0,4,6
1/8/1931,Belgium,Fokker,Fokker F VIIOO,Melle Belgium,Sabena,0,2,2
1/22/1931,Washington,Boeing,Boeing 40NC741K,Bluff Mountain Washington,Varney Air Lines,0,1,1
2/8/1931,New Zealand,Desoutter,Desoutter IIZK ACA,Wairoa New Zealand,Dominion Air Lines,0,3,3
2/20/1931,Manitoba,Fokker Universal,Fokker Universal F 14?,Bagot Manitoba,Canada Western Canada Airways,0,2,3
2/24/1931,Spain,Latecoere,Latecoere 32F AITX,Off SpainAeropostale,Aeropostale,0,1,3
3/21/1931,Australia,Avro,Avro 10VH UMF,New South Wales Australia,Airways National Australian,0,8,8
3/31/1931,Kansas,Fokker F10A,Fokker F10A TrimotorNC 999,Bazaar Kansas,Trans Continental and Western Air,0,8,8
