Crash Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Fatalities(ground),Sum of Fatalities (air),Sum of Aboard
1952-03-22,Quebec,Douglas,Douglas C 47,Near Gaspe Quebec,Canada Maritime Central Airways,0,4,4
1952-03-22,Germany,Douglas,Douglas DC 6PH,Frankfurt Germany,Royal Dutch Airlines KLM,0,45,47
1952-03-24,French,Lockheed 18,Lockheed 18 LodestarF ARTE,Near Gao French,Tropicaux Tr. de Aérienne AfricaSociété West,0,17,21
1952-03-26,Russia,??,??,Moscow Russia,Aeroflot,0,70,70
1952-03-29,Venezuela,Douglas,Douglas DC 3YV,Near San Felipe Venezuela,TACA,0,12,12
1952-03-30,Philippines,Douglas,Douglas DC 3PI,Baguio Philippines,Philippine Air Lines,0,10,29
1952-04-05,U.S.A.,Curtiss,Curtiss C 46F,New York,US Airlines,3,2,2
1952-04-09,Japan,Martin,Martin 202N93043,Mihara Volcano Japan,Japan Air Lines,0,37,37
1952-04-10,India,Douglas,Douglas C 47AVT,Agartala India,Kalinga Airlines,0,4,4
1952-04-11,Puerto Rico,Douglas,Douglas DC 4N88899,North of San Juan Puerto Rico Rico,Pan American World Airways,0,52,69
1952-04-18,California,Curtiss,Curtiss C 46F,Near Whittier California,Airlines) (Robin Airlines Continental North,0,29,29
1952-04-29,Brazil,Boeing,Boeing 377 10,Near Carolina Brazil,Pan American World Airways,0,50,50
1952-05-05,Norway,Douglas,Douglas C 47ALN,Near Skien Norway,Flyveselskap Olsen Fred,0,11,29
1952-05-09,Malaysia,Douglas,Douglas DC 3PK,Ipoh Malaysia,Garuda Indonesia Airlines,0,17,17
1952-05-13,Brazil,Douglas,Douglas DC 3PP,Sao Paulo Brazil,VASP,0,5,22
1952-05-24,Brazil,Curtiss,Curtiss C 46APP,Near Manaus Brazil,Nacional Aéreo Loide,0,6,6
1952-05-26,Mauritania,Handley Page,Handley Page HP 81 Hermes IVG,Near Atar Mauritania,Airways Overseas British,0,1,18
1952-06-13,Baltic Sea,Douglas,Douglas DC 379001,Baltic SeaSwedish Air Force,Swedish Air Force,0,8,8
1952-06-14,East,Airspeed,Airspeed AS 65 ConsulG,Near Brighton East,England          Sussex Morton Air Services,0,6,8
1952-06-24,England,Boeing,Boeing B 50 Superfortress?,Lakenheath AFB England,U.S. Air Force - Military,0,11,11
1952-06-25,North,Avro Shackleton,Avro Shackleton MR 1VP261,Off Northumberland North,Force Air Royal - SeaMilitary,0,11,13
1952-07-18,near,Fairchild packet (C119 flying,Fairchild packet (C119 flying boxcar)?,Whiting Field near,Florida          Milton Military - Navy,0,41,46
1952-07-27,Brazil,Boeing 377,Boeing 377 StratocruiserN1030V,Off Rio de Janeiro Brazil,Pan American World Airways,0,1,27
1952-08-12,Brazil,Douglas,Douglas DC 3PP,Palmeira de Goias Brazil,Nacionales Areos Transportes,0,24,24
1952-08-21,Italy,Handley Page,Handley Page HP 81 Hermes 4AG,Off Trapani Italy,Airwork,0,7,57
